Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
"QSS","2013-01-07","00:00:00.000","ENTER","0.105","30000","0","3150","","0","","6214580191390790797","A","","","","","144"
"QSS","2013-01-07","09:11:45.690","ENTER","0.082","1","0","0.082","","0","6218934257436451753","","B","","","","112",""
"QSS","2013-01-07","16:30:59.444","DELETE","","","","","","0","6218934257436451753","","B","","","","112",""
"QSS","2013-01-08","00:00:00.000","ENTER","0.105","30000","0","3150","","0","","6214580191390790797","A","","","","","144"
"QSS","2013-01-08","12:21:36.175","ENTER","0.094","39998","0","3759.812","","0","","6219341351617764647","A","","","","","140"
"QSS","2013-01-08","13:47:49.020","ENTER","0.074","40000","0","2960","","0","6219341351618310815","","B","","","","638",""
"QSS","2013-01-08","13:53:42.409","ENTER","0.085","20000","0","1700","","0","","6219341351618344424","A","","","","","144"
"QSS","2013-01-08","13:55:42.917","ENTER","0.080","35000","0","2800","","0","6219341351618358642","","B","","","","638",""
"QSS","2013-01-08","13:56:35.704","AMEND","0.085","40000","","3400","","0","6219341351618310815","","B","13:47:49","0.074","40000","638",""
"QSS","2013-01-08","13:56:35.704","TRADE","0.085","20000","","1700","Bi","0","6219341351618310815","6219341351618344424","","","","","638","144"
"QSS","2013-01-08","13:57:35.796","AMEND","0.075","20000","","1500","","0","6219341351618310815","","B","13:47:49","0.085","20000","638",""
"QSS","2013-01-08","14:08:28.105","AMEND","0.076","35000","","2660","","0","6219341351618358642","","B","13:55:42","0.080","35000","638",""
"QSS","2013-01-09","00:00:00.000","ENTER","0.076","35000","0","2660","","0","6219341351618358642","","B","","","","638",""
"QSS","2013-01-09","00:00:00.000","ENTER","0.075","20000","0","1500","","0","6219341351618310815","","B","","","","638",""
"QSS","2013-01-09","00:00:00.000","ENTER","0.094","39998","0","3759.812","","0","","6219341351617764647","A","","","","","140"
"QSS","2013-01-09","00:00:00.000","ENTER","0.105","30000","0","3150","","0","","6214580191390790797","A","","","","","144"
"QSS","2013-01-09","10:25:52.854","ENTER","0.088","26025","0","2290.2","","0","","6219737450680753225","A","","","","","238"
"QSS","2013-01-09","15:38:40.160","AMEND","0.088","40000","","3520","","0","6219341351618310815","","B","00:00:00","0.075","20000","638",""
"QSS","2013-01-09","15:38:40.160","TRADE","0.088","26025","","2290.2","Bi","0","6219341351618310815","6219737450680753225","","","","","638","238"
"QSS","2013-01-09","15:39:29.448","AMEND","0.075","13975","","1048.125","","0","6219341351618310815","","B","00:00:00","0.088","13975","638",""
"QSS","2013-01-10","00:00:00.000","ENTER","0.076","35000","0","2660","","0","6219341351618358642","","B","","","","638",""
"QSS","2013-01-10","00:00:00.000","ENTER","0.075","13975","0","1048.125","","0","6219341351618310815","","B","","","","638",""
"QSS","2013-01-10","00:00:00.000","ENTER","0.094","39998","0","3759.812","","0","","6219341351617764647","A","","","","","140"
"QSS","2013-01-10","00:00:00.000","ENTER","0.105","30000","0","3150","","0","","6214580191390790797","A","","","","","144"
"QSS","2013-01-10","08:32:48.553","ENTER","0.088","1","0","0.088","","0","6220132725110726786","","B","","","","112",""
"QSS","2013-01-10","16:01:27.646","DELETE","","","","","","0","6220132725110726786","","B","","","","112",""
"QSS","2013-01-11","00:00:00.000","ENTER","0.076","35000","0","2660","","0","6219341351618358642","","B","","","","638",""
"QSS","2013-01-11","00:00:00.000","ENTER","0.075","13975","0","1048.125","","0","6219341351618310815","","B","","","","638",""
"QSS","2013-01-11","00:00:00.000","ENTER","0.094","39998","0","3759.812","","0","","6219341351617764647","A","","","","","140"
"QSS","2013-01-11","00:00:00.000","ENTER","0.105","30000","0","3150","","0","","6214580191390790797","A","","","","","144"
"QSS","2013-01-14","00:00:00.000","ENTER","0.076","35000","0","2660","","0","6219341351618358642","","B","","","","638",""
"QSS","2013-01-14","00:00:00.000","ENTER","0.075","13975","0","1048.125","","0","6219341351618310815","","B","","","","638",""
"QSS","2013-01-14","00:00:00.000","ENTER","0.094","39998","0","3759.812","","0","","6219341351617764647","A","","","","","140"
"QSS","2013-01-14","00:00:00.000","ENTER","0.105","30000","0","3150","","0","","6214580191390790797","A","","","","","144"
"QSS","2013-01-14","09:32:26.531","ENTER","0.088","1","0","0.088","","0","6221705026738447817","","B","","","","112",""
"QSS","2013-01-14","16:41:07.181","DELETE","","","","","","0","6221705026738447817","","B","","","","112",""
"QSS","2013-01-15","00:00:00.000","ENTER","0.076","35000","0","2660","","0","6219341351618358642","","B","","","","638",""
"QSS","2013-01-15","00:00:00.000","ENTER","0.075","13975","0","1048.125","","0","6219341351618310815","","B","","","","638",""
"QSS","2013-01-15","00:00:00.000","ENTER","0.094","39998","0","3759.812","","0","","6219341351617764647","A","","","","","140"
"QSS","2013-01-15","00:00:00.000","ENTER","0.105","30000","0","3150","","0","","6214580191390790797","A","","","","","144"
"QSS","2013-01-15","08:35:14.968","ENTER","0.088","1","0","0.088","","0","6222111846040722323","","B","","","","112",""
"QSS","2013-01-15","12:27:15.817","ENTER","0.088","10000","0","880","","0","","6222111846041742032","A","","","","","179"
"QSS","2013-01-15","12:27:15.817","TRADE","0.088","1","","0.088","Si","0","6222111846040722323","6222111846041742032","","","","","112","179"
"QSS","2013-01-15","12:27:32.724","AMEND","0.086","9999","","859.914","","0","","6222111846041742032","A","12:27:15","0.088","9999","","179"
"QSS","2013-01-15","12:28:00.257","AMEND","0.084","9999","","839.916","","0","","6222111846041742032","A","12:27:15","0.086","9999","","179"
"QSS","2013-01-15","12:28:32.861","AMEND","0.082","9999","","819.918","","0","","6222111846041742032","A","12:27:15","0.084","9999","","179"
"QSS","2013-01-15","12:29:16.601","AMEND","0.080","9999","","799.92","","0","","6222111846041742032","A","12:27:15","0.082","9999","","179"
"QSS","2013-01-15","12:29:47.189","AMEND","0.078","9999","","779.922","","0","","6222111846041742032","A","12:27:15","0.080","9999","","179"
"QSS","2013-01-15","12:30:20.779","AMEND","0.076","9999","","759.924","","0","","6222111846041742032","A","12:27:15","0.078","9999","","179"
"QSS","2013-01-15","12:30:20.779","TRADE","0.076","9999","","759.924","Si","0","6219341351618358642","6222111846041742032","","","","","638","179"
"QSS","2013-01-15","12:37:11.307","AMEND","0.076","35001","","2660.076","","0","6219341351618358642","","B","00:00:00","0.076","25001","638",""
"QSS","2013-01-15","12:38:59.154","AMEND","0.075","23975","","1798.125","","0","6219341351618310815","","B","00:00:00","0.075","13975","638",""
"QSS","2013-01-16","00:00:00.000","ENTER","0.076","35001","0","2660.076","","0","6219341351618358642","","B","","","","638",""
"QSS","2013-01-16","00:00:00.000","ENTER","0.075","23975","0","1798.125","","0","6219341351618310815","","B","","","","638",""
"QSS","2013-01-16","00:00:00.000","ENTER","0.094","39998","0","3759.812","","0","","6219341351617764647","A","","","","","140"
"QSS","2013-01-16","00:00:00.000","ENTER","0.105","30000","0","3150","","0","","6214580191390790797","A","","","","","144"
"QSS","2013-01-17","00:00:00.000","ENTER","0.076","35001","0","2660.076","","0","6219341351618358642","","B","","","","638",""
"QSS","2013-01-17","00:00:00.000","ENTER","0.075","23975","0","1798.125","","0","6219341351618310815","","B","","","","638",""
"QSS","2013-01-17","00:00:00.000","ENTER","0.094","39998","0","3759.812","","0","","6219341351617764647","A","","","","","140"
"QSS","2013-01-17","00:00:00.000","ENTER","0.105","30000","0","3150","","0","","6214580191390790797","A","","","","","144"
"QSS","2013-01-18","00:00:00.000","ENTER","0.076","35001","0","2660.076","","0","6219341351618358642","","B","","","","638",""
"QSS","2013-01-18","00:00:00.000","ENTER","0.075","23975","0","1798.125","","0","6219341351618310815","","B","","","","638",""
"QSS","2013-01-18","00:00:00.000","ENTER","0.094","39998","0","3759.812","","0","","6219341351617764647","A","","","","","140"
"QSS","2013-01-18","00:00:00.000","ENTER","0.105","30000","0","3150","","0","","6214580191390790797","A","","","","","144"
"QSS","2013-01-18","15:30:19.608","ENTER","0.074","35000","0","2590","","0","6223299868356604922","","B","","","","140",""
"QSS","2013-01-18","15:33:57.290","ENTER","0.081","70000","0","5670","","0","","6223299868356629174","A","","","","","638"
"QSS","2013-01-18","15:37:18.390","DELETE","","","","","","0","6223299868356604922","","B","","","","140",""
"QSS","2013-01-18","15:37:18.396","ENTER","0.081","70000","0","5670","OB0 ","0","6223299868356653342","","B","","","","140",""
"QSS","2013-01-18","15:37:18.396","TRADE","0.081","70000","","5670","Bi","0","6223299868356653342","6223299868356629174","","","","","140","638"
"QSS","2013-01-21","00:00:00.000","ENTER","0.076","35001","0","2660.076","","0","6219341351618358642","","B","","","","638",""
"QSS","2013-01-21","00:00:00.000","ENTER","0.075","23975","0","1798.125","","0","6219341351618310815","","B","","","","638",""
"QSS","2013-01-21","00:00:00.000","ENTER","0.094","39998","0","3759.812","","0","","6219341351617764647","A","","","","","140"
"QSS","2013-01-21","00:00:00.000","ENTER","0.105","30000","0","3150","","0","","6214580191390790797","A","","","","","144"
"QSS","2013-01-21","12:26:52.110","ENTER","0.079","100000","0","7900","","0","","6224475796041587834","A","","","","","102"
"QSS","2013-01-21","12:27:38.924","AMEND","0.077","100000","","7700","","0","","6224475796041587834","A","12:26:52","0.079","100000","","102"
"QSS","2013-01-21","12:28:38.059","AMEND","0.076","100000","","7600","","0","","6224475796041587834","A","12:26:52","0.077","100000","","102"
"QSS","2013-01-21","12:28:38.059","TRADE","0.076","35001","","2660.076","Si","0","6219341351618358642","6224475796041587834","","","","","638","102"
"QSS","2013-01-21","12:29:11.586","AMEND","0.075","64999","","4874.925","","0","","6224475796041587834","A","12:26:52","0.076","64999","","102"
"QSS","2013-01-21","12:29:11.586","TRADE","0.075","23975","","1798.125","Si","0","6219341351618310815","6224475796041587834","","","","","638","102"
"QSS","2013-01-21","12:37:30.321","ENTER","0.050","100000","0","5000","","0","6224475796041657973","","B","","","","638",""
"QSS","2013-01-22","00:00:00.000","ENTER","0.050","100000","0","5000","","0","6224475796041657973","","B","","","","638",""
"QSS","2013-01-22","00:00:00.000","ENTER","0.075","41024","0","3076.8","","0","","6224475796041587834","A","","","","","102"
"QSS","2013-01-22","00:00:00.000","ENTER","0.094","39998","0","3759.812","","0","","6219341351617764647","A","","","","","140"
"QSS","2013-01-23","00:00:00.000","ENTER","0.050","100000","0","5000","","0","6224475796041657973","","B","","","","638",""
"QSS","2013-01-23","00:00:00.000","ENTER","0.075","41024","0","3076.8","","0","","6224475796041587834","A","","","","","102"
"QSS","2013-01-23","00:00:00.000","ENTER","0.094","39998","0","3759.812","","0","","6219341351617764647","A","","","","","140"
"QSS","2013-01-23","10:14:17.266","ENTER","0.078","45000","0","3510","","0","","6225279539040458763","A","","","","","638"
"QSS","2013-01-24","00:00:00.000","ENTER","0.050","100000","0","5000","","0","6224475796041657973","","B","","","","638",""
"QSS","2013-01-24","00:00:00.000","ENTER","0.075","41024","0","3076.8","","0","","6224475796041587834","A","","","","","102"
"QSS","2013-01-24","00:00:00.000","ENTER","0.078","45000","0","3510","","0","","6225279539040458763","A","","","","","638"
"QSS","2013-01-24","00:00:00.000","ENTER","0.094","39998","0","3759.812","","0","","6219341351617764647","A","","","","","140"
"QSS","2013-01-25","00:00:00.000","ENTER","0.050","100000","0","5000","","0","6224475796041657973","","B","","","","638",""
"QSS","2013-01-25","00:00:00.000","ENTER","0.075","41024","0","3076.8","","0","","6224475796041587834","A","","","","","102"
"QSS","2013-01-25","00:00:00.000","ENTER","0.078","45000","0","3510","","0","","6225279539040458763","A","","","","","638"
"QSS","2013-01-25","00:00:00.000","ENTER","0.094","39998","0","3759.812","","0","","6219341351617764647","A","","","","","140"
"QSS","2013-01-28","00:00:00.000","ENTER","0.050","100000","0","5000","","0","6224475796041657973","","B","","","","638",""
"QSS","2013-01-28","00:00:00.000","ENTER","0.075","41024","0","3076.8","","0","","6224475796041587834","A","","","","","102"
"QSS","2013-01-28","00:00:00.000","ENTER","0.078","45000","0","3510","","0","","6225279539040458763","A","","","","","638"
"QSS","2013-01-28","00:00:00.000","ENTER","0.094","39998","0","3759.812","","0","","6219341351617764647","A","","","","","140"
"QSS","2013-01-29","00:00:00.000","ENTER","0.050","100000","0","5000","","0","6224475796041657973","","B","","","","638",""
"QSS","2013-01-29","00:00:00.000","ENTER","0.075","41024","0","3076.8","","0","","6224475796041587834","A","","","","","102"
"QSS","2013-01-29","00:00:00.000","ENTER","0.078","45000","0","3510","","0","","6225279539040458763","A","","","","","638"
"QSS","2013-01-29","00:00:00.000","ENTER","0.094","39998","0","3759.812","","0","","6219341351617764647","A","","","","","140"
"QSS","2013-01-30","00:00:00.000","ENTER","0.050","100000","0","5000","","0","6224475796041657973","","B","","","","638",""
"QSS","2013-01-30","00:00:00.000","ENTER","0.075","41024","0","3076.8","","0","","6224475796041587834","A","","","","","102"
"QSS","2013-01-30","00:00:00.000","ENTER","0.078","45000","0","3510","","0","","6225279539040458763","A","","","","","638"
"QSS","2013-01-30","00:00:00.000","ENTER","0.094","39998","0","3759.812","","0","","6219341351617764647","A","","","","","140"
"QSS","2013-01-31","00:00:00.000","ENTER","0.050","100000","0","5000","","0","6224475796041657973","","B","","","","638",""
"QSS","2013-01-31","00:00:00.000","ENTER","0.075","41024","0","3076.8","","0","","6224475796041587834","A","","","","","102"
"QSS","2013-01-31","00:00:00.000","ENTER","0.078","45000","0","3510","","0","","6225279539040458763","A","","","","","638"
"QSS","2013-01-31","00:00:00.000","ENTER","0.094","39998","0","3759.812","","0","","6219341351617764647","A","","","","","140"
"QSS","2013-02-01","00:00:00.000","ENTER","0.050","100000","0","5000","","0","6224475796041657973","","B","","","","638",""
"QSS","2013-02-01","00:00:00.000","ENTER","0.075","41024","0","3076.8","","0","","6224475796041587834","A","","","","","102"
"QSS","2013-02-01","00:00:00.000","ENTER","0.078","45000","0","3510","","0","","6225279539040458763","A","","","","","638"
"QSS","2013-02-01","00:00:00.000","ENTER","0.094","39998","0","3759.812","","0","","6219341351617764647","A","","","","","140"
"QSS","2013-02-01","10:49:08.843","AMEND","0.040","100000","","4000","","0","6224475796041657973","","B","00:00:00","0.050","100000","638",""
"QSS","2013-02-04","00:00:00.000","ENTER","0.040","100000","0","4000","","0","6224475796041657973","","B","","","","638",""
"QSS","2013-02-04","00:00:00.000","ENTER","0.075","41024","0","3076.8","","0","","6224475796041587834","A","","","","","102"
"QSS","2013-02-04","00:00:00.000","ENTER","0.078","45000","0","3510","","0","","6225279539040458763","A","","","","","638"
"QSS","2013-02-04","00:00:00.000","ENTER","0.094","39998","0","3759.812","","0","","6219341351617764647","A","","","","","140"
"QSS","2013-02-04","13:08:34.603","ENTER","0.074","10000","0","740","","0","","6230017334645827603","A","","","","","638"
"QSS","2013-02-04","13:13:19.953","ENTER","0.074","55000","0","4070","","0","6230017334645856696","","B","","","","140",""
"QSS","2013-02-04","13:13:19.953","TRADE","0.074","10000","","740","Bi","0","6230017334645856696","6230017334645827603","","","","","140","638"
"QSS","2013-02-04","13:14:37.327","AMEND","0.074","45000","","3330","","0","","6225279539040458763","A","00:00:00","0.078","45000","","638"
"QSS","2013-02-04","13:14:37.327","TRADE","0.074","45000","","3330","Si","0","6230017334645856696","6225279539040458763","","","","","140","638"
