#Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
RED,20110228,00:00:00.000,ENTER,0.175,39160,0,6853,,0,5948619594331920439,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.175,25000,0,4375,,0,5948619594331926222,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.175,56500,0,9887.5,,0,5948619594331939628,,B,,,,412,
RED,20110228,00:00:00.000,ENTER,0.175,57140,0,9999.5,,0,5948619594331956256,,B,,,,255,
RED,20110228,00:00:00.000,ENTER,0.175,57028,0,9979.9,,0,5948619594331963530,,B,,,,255,
RED,20110228,00:00:00.000,ENTER,0.175,70000,0,12250,,0,5948619594332103758,,B,,,,119,
RED,20110228,00:00:00.000,ENTER,0.175,300000,0,52500,,0,5949011845104098763,,B,,,,144,
RED,20110228,00:00:00.000,ENTER,0.175,60000,0,10500,,0,5949011845104151076,,B,,,,678,
RED,20110228,00:00:00.000,ENTER,0.175,50000,0,8750,,0,5948619594330874670,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.175,57133,0,9998.275,,0,5949011845104174078,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.175,27314,0,4779.95,,0,5949011845104184617,,B,,,,144,
RED,20110228,00:00:00.000,ENTER,0.175,150000,0,26250,,0,5949011845104193417,,B,,,,144,
RED,20110228,00:00:00.000,ENTER,0.175,50000,0,8750,,0,5949011845104245081,,B,,,,119,
RED,20110228,00:00:00.000,ENTER,0.175,70000,0,12250,,0,5949011845104262385,,B,,,,119,
RED,20110228,00:00:00.000,ENTER,0.175,50000,0,8750,,0,5949011845104267356,,B,,,,119,
RED,20110228,00:00:00.000,ENTER,0.175,50000,0,8750,,0,5949011845104268202,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.175,11000,0,1925,,0,5949011845104480445,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.175,1,0,0.175,,0,5949011845104485105,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.175,17800,0,3115,,0,5949011845104635370,,B,,,,144,
RED,20110228,00:00:00.000,ENTER,0.175,10000,0,1750,,0,5949011845104948328,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.170,8604,0,1462.68,,0,5939094250221817704,,B,,,,638,
RED,20110228,00:00:00.000,ENTER,0.170,100000,0,17000,,0,5939908163703802620,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.170,70000,0,11900,,0,5939908163703993656,,B,,,,119,
RED,20110228,00:00:00.000,ENTER,0.170,50000,0,8500,,0,5939908163704433424,,B,,,,119,
RED,20110228,00:00:00.000,ENTER,0.170,17470,0,2969.9,,0,5940304262767616263,,B,,,,638,
RED,20110228,00:00:00.000,ENTER,0.170,50000,0,8500,,0,5941782281274342936,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.170,100000,0,17000,,0,5943075306947932665,,B,,,,412,
RED,20110228,00:00:00.000,ENTER,0.170,70000,0,11900,,0,5943075306948171574,,B,,,,119,
RED,20110228,00:00:00.000,ENTER,0.170,30000,0,5100,,0,5942279535407679388,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.170,50000,0,8500,,0,5944532709610133227,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.170,9000,0,1530,,0,5943075306948058505,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.170,50000,0,8500,,0,5945841128447439206,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.170,20000,0,3400,,0,5943470856256552567,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.170,30000,0,5100,,0,5947401060569104397,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.170,30000,0,5100,,0,5947401060570375418,,B,,,,119,
RED,20110228,00:00:00.000,ENTER,0.170,100000,0,17000,,0,5948619594330965915,,B,,,,638,
RED,20110228,00:00:00.000,ENTER,0.170,58705,0,9979.85,,0,5948619594331194655,,B,,,,255,
RED,20110228,00:00:00.000,ENTER,0.170,30000,0,5100,,0,5948619594331722070,,B,,,,638,
RED,20110228,00:00:00.000,ENTER,0.170,17470,0,2969.9,,0,5949011845103793300,,B,,,,638,
RED,20110228,00:00:00.000,ENTER,0.170,17647,0,2999.99,,0,5949011845103812224,,B,,,,144,
RED,20110228,00:00:00.000,ENTER,0.170,30000,0,5100,,0,5949011845103848742,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.170,300000,0,51000,,0,5949011845103905675,,B,,,,179,
RED,20110228,00:00:00.000,ENTER,0.170,50000,0,8500,,0,5949011845104097256,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.165,50000,0,8250,,0,5929610137798929888,,B,,,,119,
RED,20110228,00:00:00.000,ENTER,0.165,50000,0,8250,,0,5931598054821769271,,B,,,,119,
RED,20110228,00:00:00.000,ENTER,0.165,30300,0,4999.5,,0,5940304262767611690,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.165,20000,0,3300,,0,5940304262768578720,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.165,70000,0,11550,,0,5943075306948171641,,B,,,,119,
RED,20110228,00:00:00.000,ENTER,0.165,15000,0,2475,,0,5943075306948301899,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.165,50000,0,8250,,0,5943075306948519315,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.165,50000,0,8250,,0,5943470856256670928,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.165,12000,0,1980,,0,5943470856256708375,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.165,30000,0,4950,,0,5947822448400438352,,B,,,,144,
RED,20110228,00:00:00.000,ENTER,0.165,250000,0,41250,,0,5948220471609704766,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.165,18181,0,2999.865,,0,5949011845105020628,,B,,,,255,
RED,20110228,00:00:00.000,ENTER,0.160,50000,0,8000,,0,9071615959463265202,,B,,,,119,
RED,20110228,00:00:00.000,ENTER,0.160,100000,0,16000,,0,5914969865596602337,,B,,,,154,
RED,20110228,00:00:00.000,ENTER,0.160,100000,0,16000,,0,5939094250221243239,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.160,10000,0,1600,,0,5939094250221252660,,B,,,,638,
RED,20110228,00:00:00.000,ENTER,0.160,250000,0,40000,,0,5939094250221946430,,B,,,,112,
RED,20110228,00:00:00.000,ENTER,0.160,6300,0,1008,,0,5942679207883609542,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.160,5000,0,800,,0,5944532709610132432,,B,,,,266,
RED,20110228,00:00:00.000,ENTER,0.160,50000,0,8000,,0,5944532709610133920,,B,,,,144,
RED,20110228,00:00:00.000,ENTER,0.160,50000,0,8000,,0,5945841128447189724,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.160,21513,0,3442.08,,0,5945841128447323811,,B,,,,144,
RED,20110228,00:00:00.000,ENTER,0.160,70000,0,11200,,0,5946243824582189069,,B,,,,119,
RED,20110228,00:00:00.000,ENTER,0.160,20000,0,3200,,0,5939094250221247318,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.160,5000,0,800,,0,5948619594331755852,,B,,,,144,
RED,20110228,00:00:00.000,ENTER,0.155,50000,0,7750,,0,9857882292577759190,,B,,,,119,
RED,20110228,00:00:00.000,ENTER,0.155,500000,0,77500,,0,5948220471609703856,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.150,50000,0,7500,,0,723451985332541164,,B,,,,119,
RED,20110228,00:00:00.000,ENTER,0.150,100000,0,15000,,0,11830215073694789389,,B,,,,154,
RED,20110228,00:00:00.000,ENTER,0.150,100000,0,15000,,0,5939094250221248290,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.150,10000,0,1500,,0,5940304262767612421,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.150,10000,0,1500,,0,5941782281273252171,,B,,,,144,
RED,20110228,00:00:00.000,ENTER,0.150,10000,0,1500,,0,5941782281273252209,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.150,60000,0,9000,,0,5942279535407329279,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.150,50000,0,7500,,0,5945841128447189736,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.150,50000,0,7500,,0,5948220471610878099,,B,,,,119,
RED,20110228,00:00:00.000,ENTER,0.145,68000,0,9860,,0,5939094250221260996,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.145,50000,0,7250,,0,5948220471610878314,,B,,,,119,
RED,20110228,00:00:00.000,ENTER,0.145,50000,0,7250,,0,5948220471610878551,,B,,,,119,
RED,20110228,00:00:00.000,ENTER,0.140,50000,0,7000,,0,5948220471610878363,,B,,,,119,
RED,20110228,00:00:00.000,ENTER,0.140,50000,0,7000,,0,5948220471610878576,,B,,,,119,
RED,20110228,00:00:00.000,ENTER,0.135,50000,0,6750,,0,5939094250221245664,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.135,50000,0,6750,,0,5939094250221260181,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.130,10000,0,1300,,0,5941782281273252457,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.125,20000,0,2500,,0,5942679207885192334,,B,,,,144,
RED,20110228,00:00:00.000,ENTER,0.060,35000,0,2100,,0,5944532709610215636,,B,,,,140,
RED,20110228,00:00:00.000,ENTER,0.180,94158,0,16948.44,,0,,5949011845103791870,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.180,50000,0,9000,,0,,5949011845104450934,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.185,141024,0,26089.44,,0,,5948220471611237985,A,,,,,307
RED,20110228,00:00:00.000,ENTER,0.185,50000,0,9250,,0,,5948619594331008635,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.185,90000,0,16650,,0,,5948619594331051896,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.185,200000,0,37000,,0,,5948619594331251091,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.185,50000,0,9250,,0,,5948619594331577909,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.185,100000,0,18500,,0,,5940702011098960705,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.185,34000,0,6290,,0,,5949011845104043548,A,,,,,638
RED,20110228,00:00:00.000,ENTER,0.185,100000,0,18500,,0,,5949011845104177282,A,,,,,144
RED,20110228,00:00:00.000,ENTER,0.185,1,0,0.185,,0,,5949011845104178874,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.185,100000,0,18500,,0,,5949011845104607335,A,,,,,144
RED,20110228,00:00:00.000,ENTER,0.190,2580,0,490.2,,0,,5943075306947821103,A,,,,,238
RED,20110228,00:00:00.000,ENTER,0.190,17000,0,3230,,0,,5943470856255633261,A,,,,,266
RED,20110228,00:00:00.000,ENTER,0.190,52500,0,9975,,0,,5943470856255605087,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.190,10000,0,1900,,0,,5943470856256028674,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.190,22700,0,4313,,0,,5945054427878620154,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.190,50000,0,9500,,0,,5945841128447947657,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.190,128000,0,24320,,0,,5946243824580922198,A,,,,,638
RED,20110228,00:00:00.000,ENTER,0.190,500000,0,95000,,0,,5947401060569257710,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.190,3820,0,725.8,,0,,5947401060569590471,A,,,,,144
RED,20110228,00:00:00.000,ENTER,0.190,100000,0,19000,,0,,5936739371193624803,A,,,,,144
RED,20110228,00:00:00.000,ENTER,0.190,13000,0,2470,,0,,5948220471609869805,A,,,,,638
RED,20110228,00:00:00.000,ENTER,0.190,25000,0,4750,,0,,5948220471610995908,A,,,,,406
RED,20110228,00:00:00.000,ENTER,0.195,15000,0,2925,,0,,5942679207885136585,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.195,189142,0,36882.69,,0,,5943075306947519835,A,,,,,638
RED,20110228,00:00:00.000,ENTER,0.195,94623,0,18451.485,,0,,5943075306947651166,A,,,,,638
RED,20110228,00:00:00.000,ENTER,0.195,30000,0,5850,,0,,5943075306948184666,A,,,,,144
RED,20110228,00:00:00.000,ENTER,0.195,30000,0,5850,,0,,5943470856255967975,A,,,,,266
RED,20110228,00:00:00.000,ENTER,0.195,100000,0,19500,,0,,5943470856256547652,A,,,,,144
RED,20110228,00:00:00.000,ENTER,0.195,43000,0,8385,,0,,5944532709611105071,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.195,100000,0,19500,,0,,5945054427878830801,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.195,20000,0,3900,,0,,5943075306947576128,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.195,50000,0,9750,,0,,5941782281273259826,A,,,,,233
RED,20110228,00:00:00.000,ENTER,0.195,125000,0,24375,,0,,5945841128447192311,A,,,,,144
RED,20110228,00:00:00.000,ENTER,0.195,23237,0,4531.215,,0,,5945841128447525367,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.195,70434,0,13734.63,,0,,5946243824580860501,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.195,16216,0,3162.12,,0,,5946243824580922722,A,,,,,255
RED,20110228,00:00:00.000,ENTER,0.195,29057,0,5666.115,,0,,5947401060569094470,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.195,20000,0,3900,,0,,5947401060569278226,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.195,17272,0,3368.04,,0,,5947401060570515088,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.195,50000,0,9750,,0,,5949011845103784268,A,,,,,144
RED,20110228,00:00:00.000,ENTER,0.195,28000,0,5460,,0,,5949011845104424016,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.200,79551,0,15910.2,,0,,5923673874519739351,A,,,,,147
RED,20110228,00:00:00.000,ENTER,0.200,20000,0,4000,,0,,5940304262767610404,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.200,20000,0,4000,,0,,5940304262767616483,A,,,,,638
RED,20110228,00:00:00.000,ENTER,0.200,1000000,0,200000,,0,,5940304262767870261,A,,,,,145
RED,20110228,00:00:00.000,ENTER,0.200,50000,0,10000,,0,,5940304262768642807,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.200,30000,0,6000,,0,,5940702011099057033,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.200,15000,0,3000,,0,,5940702011099096704,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.200,3300,0,660,,0,,5940304262768112155,A,,,,,144
RED,20110228,00:00:00.000,ENTER,0.200,20000,0,4000,,0,,5943075306947516434,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.200,40000,0,8000,,0,,5943075306947518591,A,,,,,150
RED,20110228,00:00:00.000,ENTER,0.200,20000,0,4000,,0,,5943075306948329229,A,,,,,144
RED,20110228,00:00:00.000,ENTER,0.200,12500,0,2500,,0,,5940304262767881162,A,,,,,255
RED,20110228,00:00:00.000,ENTER,0.200,48275,0,9655,,0,,5944532709610134201,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.200,10000,0,2000,,0,,5944532709610135633,A,,,,,144
RED,20110228,00:00:00.000,ENTER,0.200,124750,0,24950,,0,,5945054427877522045,A,,,,,638
RED,20110228,00:00:00.000,ENTER,0.200,250000,0,50000,,0,,5945451901330968928,A,,,,,144
RED,20110228,00:00:00.000,ENTER,0.200,30000,0,6000,,0,,5947401060569613363,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.200,11450,0,2290,,0,,5947822448400463457,A,,,,,144
RED,20110228,00:00:00.000,ENTER,0.200,70000,0,14000,,0,,5948220471610005736,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.200,25000,0,5000,,0,,5948619594330604026,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.200,20000,0,4000,,0,,5949011845103785291,A,,,,,144
RED,20110228,00:00:00.000,ENTER,0.205,150000,0,30750,,0,,5928820688450518058,A,,,,,406
RED,20110228,00:00:00.000,ENTER,0.205,200000,0,41000,,0,,5929610137797965441,A,,,,,638
RED,20110228,00:00:00.000,ENTER,0.205,15000,0,3075,,0,,5940702011098958349,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.205,25000,0,5125,,0,,5941782281273966539,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.205,27000,0,5535,,0,,5942279535406913052,A,,,,,144
RED,20110228,00:00:00.000,ENTER,0.205,18000,0,3690,,0,,5946243824580861686,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.210,208,0,43.68,,0,,5926025455013496318,A,,,,,255
RED,20110228,00:00:00.000,ENTER,0.210,34000,0,7140,,0,,5930776444757116999,A,,,,,255
RED,20110228,00:00:00.000,ENTER,0.210,100000,0,21000,,0,,5930776444757128489,A,,,,,113
RED,20110228,00:00:00.000,ENTER,0.210,50000,0,10500,,0,,5939908163704680357,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.210,23500,0,4935,,0,,5939908163704755564,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.210,83333,0,17499.93,,0,,5940304262767685619,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.210,180000,0,37800,,0,,5940304262767836424,A,,,,,361
RED,20110228,00:00:00.000,ENTER,0.210,15000,0,3150,,0,,5942279535406910357,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.210,27000,0,5670,,0,,5942279535406912205,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.210,10000,0,2100,,0,,5944532709611267635,A,,,,,144
RED,20110228,00:00:00.000,ENTER,0.210,244330,0,51309.3,,0,,5945054427878209784,A,,,,,144
RED,20110228,00:00:00.000,ENTER,0.210,20000,0,4200,,0,,5939513988785147779,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.210,12000,0,2520,,0,,5948619594330587318,A,,,,,638
RED,20110228,00:00:00.000,ENTER,0.215,21500,0,4622.5,,0,,5924068049438217489,A,,,,,266
RED,20110228,00:00:00.000,ENTER,0.215,100000,0,21500,,0,,5924068049438300822,A,,,,,147
RED,20110228,00:00:00.000,ENTER,0.215,80000,0,17200,,0,,5928400400129847868,A,,,,,638
RED,20110228,00:00:00.000,ENTER,0.215,200000,0,43000,,0,,5935157998594910451,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.215,10000,0,2150,,0,,5940304262768283473,A,,,,,638
RED,20110228,00:00:00.000,ENTER,0.215,10000,0,2150,,0,,5940304262769124508,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.215,25487,0,5479.705,,0,,5940702011099290575,A,,,,,638
RED,20110228,00:00:00.000,ENTER,0.215,150000,0,32250,,0,,5941782281274485919,A,,,,,412
RED,20110228,00:00:00.000,ENTER,0.215,456229,0,98089.235,,0,,5942679207884425558,A,,,,,144
RED,20110228,00:00:00.000,ENTER,0.215,10000,0,2150,,0,,5945054427877524562,A,,,,,238
RED,20110228,00:00:00.000,ENTER,0.215,12000,0,2580,,0,,5943075306947665323,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.215,100000,0,21500,,0,,5948220471610025779,A,,,,,677
RED,20110228,00:00:00.000,ENTER,0.220,1000000,0,220000,,0,,9410847970257868845,A,,,,,254
RED,20110228,00:00:00.000,ENTER,0.220,100000,0,22000,,0,,5926025455013509243,A,,,,,266
RED,20110228,00:00:00.000,ENTER,0.220,30000,0,6600,,0,,5930776444758174966,A,,,,,266
RED,20110228,00:00:00.000,ENTER,0.220,115000,0,25300,,0,,5936739371192878730,A,,,,,412
RED,20110228,00:00:00.000,ENTER,0.220,10000,0,2200,,0,,5939094250221395376,A,,,,,266
RED,20110228,00:00:00.000,ENTER,0.220,27000,0,5940,,0,,5940702011099014885,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.220,10000,0,2200,,0,,5940702011099419942,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.220,40000,0,8800,,0,,5941782281273286090,A,,,,,154
RED,20110228,00:00:00.000,ENTER,0.220,200000,0,44000,,0,,5943470856255680385,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.220,35000,0,7700,,0,,5945054427877512852,A,,,,,144
RED,20110228,00:00:00.000,ENTER,0.220,16882,0,3714.04,,0,,5947822448402005073,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.220,30000,0,6600,,0,,5948220471610090829,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.225,4950,0,1113.75,,0,,5940304262767961264,A,,,,,255
RED,20110228,00:00:00.000,ENTER,0.225,100000,0,22500,,0,,5942679207883612592,A,,,,,638
RED,20110228,00:00:00.000,ENTER,0.230,88000,0,20240,,0,,5917735961973798805,A,,,,,412
RED,20110228,00:00:00.000,ENTER,0.230,30000,0,6900,,0,,5940304262768225600,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.230,13000,0,2990,,0,,5940304262768628020,A,,,,,140
RED,20110228,00:00:00.000,ENTER,0.235,30000,0,7050,,0,,5926838818740148362,A,,,,,638
RED,20110228,00:00:00.000,ENTER,0.235,50000,0,11750,,0,,5947401060569103841,A,,,,,638
RED,20110228,00:00:00.000,ENTER,0.240,5000,0,1200,,0,,10718440988867815412,A,,,,,638
